day,date,phase,classification
136,2030-12-14,demonstrate,synthetic
137,2030-12-15,demonstrate,synthetic
138,2030-12-16,demonstrate,synthetic
139,2030-12-17,demonstrate,synthetic
140,2030-12-18,demonstrate,synthetic
141,2030-12-19,demonstrate,synthetic
142,2030-12-20,demonstrate,synthetic
143,2030-12-21,demonstrate,synthetic
144,2030-12-22,demonstrate,synthetic
145,2030-12-23,demonstrate,synthetic
146,2030-12-24,demonstrate,synthetic
147,2030-12-25,demonstrate,synthetic
148,2030-12-26,demonstrate,synthetic
149,2030-12-27,demonstrate,synthetic
150,2030-12-28,demonstrate,synthetic
151,2030-12-29,demonstrate,synthetic
152,2030-12-30,demonstrate,synthetic
153,2030-12-31,demonstrate,synthetic
154,2031-01-01,demonstrate,synthetic
155,2031-01-02,demonstrate,synthetic
156,2031-01-03,demonstrate,synthetic
157,2031-01-04,demonstrate,synthetic
158,2031-01-05,demonstrate,synthetic
159,2031-01-06,demonstrate,synthetic
160,2031-01-07,demonstrate,synthetic
161,2031-01-08,demonstrate,synthetic
162,2031-01-09,demonstrate,synthetic
163,2031-01-10,demonstrate,synthetic
164,2031-01-11,demonstrate,synthetic
165,2031-01-12,demonstrate,synthetic
166,2031-01-13,demonstrate,synthetic
167,2031-01-14,demonstrate,synthetic
168,2031-01-15,demonstrate,synthetic
169,2031-01-16,consolidate,synthetic
170,2031-01-17,consolidate,synthetic
171,2031-01-18,consolidate,synthetic
172,2031-01-19,consolidate,synthetic
173,2031-01-20,consolidate,synthetic
174,2031-01-21,consolidate,synthetic
175,2031-01-22,consolidate,synthetic
176,2031-01-23,consolidate,synthetic
177,2031-01-24,consolidate,synthetic
178,2031-01-25,consolidate,synthetic
179,2031-01-26,consolidate,synthetic
180,2031-01-27,consolidate,synthetic
181,2031-01-28,consolidate,synthetic
182,2031-01-29,consolidate,synthetic
183,2031-01-30,consolidate,synthetic
184,2031-01-31,consolidate,synthetic
